Date,Open,High,Low,Close,Volume
11-Jan-17,793.66,799.50,789.51,799.02,2992791
10-Jan-17,796.60,798.00,789.54,795.90,2558369
9-Jan-17,798.00,801.77,791.77,796.92,3446109
6-Jan-17,782.36,799.44,778.48,795.99,5986234
5-Jan-17,761.55,782.40,760.26,780.45,5830068
4-Jan-17,758.39,759.68,754.20,757.18,2510526
3-Jan-17,757.92,758.76,747.70,753.67,3521066
30-Dec-16,766.47,767.40,748.28,749.87,4139449
29-Dec-16,772.40,773.40,760.85,765.15,3158299
28-Dec-16,776.25,780.00,770.50,772.13,3301025
27-Dec-16,763.40,774.65,761.20,771.40,2638725
23-Dec-16,764.55,766.50,757.99,760.59,1981616
22-Dec-16,768.12,771.21,763.02,766.34,2543551
21-Dec-16,770.00,771.22,765.70,770.60,2044629
20-Dec-16,768.65,774.39,767.71,771.22,2703629
19-Dec-16,758.89,770.50,756.16,766.00,3113240
16-Dec-16,765.00,765.13,754.00,757.77,4848219
15-Dec-16,766.28,769.10,760.31,761.00,3801927
14-Dec-16,778.25,780.86,762.81,768.82,5454836
13-Dec-16,764.96,782.46,762.00,774.34,5285288
12-Dec-16,766.40,766.89,757.20,760.12,2963945
9-Dec-16,770.00,770.25,765.34,768.66,2470923
8-Dec-16,771.87,773.79,765.19,767.33,3189608
7-Dec-16,764.55,770.42,755.82,770.42,3684906
6-Dec-16,763.99,768.24,757.25,764.72,3794746
5-Dec-16,745.00,761.49,742.00,759.36,4314723
2-Dec-16,743.40,748.49,736.70,740.34,3561307
1-Dec-16,752.41,753.37,738.03,743.65,4665993
30-Nov-16,762.00,768.09,750.25,750.57,4625946
29-Nov-16,768.00,769.89,761.32,762.52,3272344
28-Nov-16,776.99,777.00,764.24,766.77,4438828
25-Nov-16,786.50,786.75,777.90,780.37,1837068
23-Nov-16,781.73,781.75,773.12,780.12,3540263
22-Nov-16,788.17,792.40,781.00,785.33,5311320
21-Nov-16,766.00,780.35,765.11,780.00,4614574
18-Nov-16,761.00,767.74,757.64,760.16,4373408
17-Nov-16,749.32,757.50,748.00,756.40,3651345
16-Nov-16,739.88,749.87,735.61,746.49,3648791
15-Nov-16,730.00,746.78,725.99,743.24,6755785
14-Nov-16,745.51,746.00,710.10,719.07,7321344
11-Nov-16,735.73,743.26,728.90,739.01,6622784
10-Nov-16,778.81,778.83,717.70,742.38,12746994
9-Nov-16,764.00,777.50,760.09,771.88,8562892
8-Nov-16,784.97,791.74,779.10,787.75,3412629
7-Nov-16,771.64,787.73,770.94,784.93,5984354
4-Nov-16,762.79,766.00,753.23,755.05,5122103
3-Nov-16,765.05,777.00,764.00,767.03,3872496
2-Nov-16,783.93,784.75,763.55,765.56,5026504
1-Nov-16,799.00,800.84,776.71,785.41,5305428
31-Oct-16,781.03,793.70,780.11,789.82,5413326
28-Oct-16,782.00,789.49,774.61,776.32,10841073
27-Oct-16,831.24,831.72,815.43,818.36,7406385
26-Oct-16,832.76,833.44,820.00,822.59,3998102
25-Oct-16,839.30,843.09,833.22,835.18,3248358
24-Oct-16,824.95,838.30,822.21,838.09,4060899
21-Oct-16,809.36,819.42,809.00,818.99,2793015
20-Oct-16,813.99,815.71,803.10,810.32,3151954
19-Oct-16,820.40,820.67,815.17,817.69,2090706
18-Oct-16,822.11,823.26,815.02,817.65,2512504
17-Oct-16,821.50,822.00,811.68,812.95,3361492
14-Oct-16,835.08,835.74,822.96,822.96,2999814
13-Oct-16,829.00,831.80,821.21,829.28,3091387
12-Oct-16,834.00,837.67,830.10,834.09,2380416
11-Oct-16,841.02,841.29,828.35,831.00,3588180
10-Oct-16,843.25,845.20,840.27,841.71,1827143
7-Oct-16,845.79,845.95,837.45,839.43,2426228
6-Oct-16,843.70,847.21,840.60,841.66,2684013
5-Oct-16,838.00,845.67,836.12,844.36,3469055
4-Oct-16,840.91,842.36,830.26,834.03,2950314
3-Oct-16,836.00,839.86,831.25,836.74,2769448
30-Sep-16,832.61,839.95,832.40,837.31,4430566
29-Sep-16,828.26,837.50,824.63,829.05,4922248
28-Sep-16,818.00,830.14,817.03,828.72,4422078
27-Sep-16,801.85,816.64,801.11,816.11,3819600
26-Sep-16,801.80,805.93,797.14,799.16,2651397
23-Sep-16,803.13,807.75,802.12,805.75,2353511
22-Sep-16,794.27,805.89,794.27,804.70,4078910
21-Sep-16,783.25,790.69,779.01,789.74,2718644
20-Sep-16,776.00,781.37,776.00,780.22,1937164
19-Sep-16,779.97,781.94,771.00,775.10,2297221
16-Sep-16,773.28,780.46,771.66,778.52,5499182
15-Sep-16,762.00,770.87,757.58,769.69,3043534
14-Sep-16,762.20,767.50,758.85,761.09,2531822
13-Sep-16,768.77,769.89,759.05,761.01,3117224
12-Sep-16,757.35,772.66,756.00,771.49,3124704
9-Sep-16,779.36,781.00,760.11,760.14,4257344
8-Sep-16,783.89,786.50,781.44,784.06,2030511
7-Sep-16,789.53,790.79,784.33,784.48,2424622
6-Sep-16,774.04,789.48,770.22,788.87,3719788
2-Sep-16,774.11,776.00,771.70,772.44,2157422
1-Sep-16,770.90,772.04,766.75,770.62,1792271
31-Aug-16,766.60,769.64,764.00,769.16,1633789
30-Aug-16,771.05,771.84,765.56,767.58,1709158
29-Aug-16,768.72,774.98,768.60,771.29,2198560
26-Aug-16,760.05,770.00,759.80,769.00,2776830
25-Aug-16,756.00,760.56,754.74,759.22,1622992
24-Aug-16,763.00,763.41,755.36,757.25,1744107
23-Aug-16,763.31,764.70,761.00,762.45,1524131
22-Aug-16,757.50,759.85,752.10,759.48,1679251
19-Aug-16,761.90,762.49,756.89,757.31,2343237
18-Aug-16,764.00,765.17,760.60,764.46,1458834
17-Aug-16,764.41,765.22,759.20,764.63,1891116
16-Aug-16,768.62,768.73,763.82,764.04,1604561
15-Aug-16,771.90,772.04,767.71,768.49,2118521
12-Aug-16,768.46,773.15,768.42,772.56,1563318
11-Aug-16,769.94,773.75,769.12,771.24,2019740
